m14 | application/x-msmediaview
sema | application/vnd.sema
mqy | application/vnd.mobius.mqy
vcd | application/x-cdlink
htke | application/vnd.kenameaapp
vcf | text/x-vcard
kmz | application/vnd.google-earth.kmz
gex | application/vnd.geometry-explorer
vcg | application/vnd.groove-vcard
semd | application/vnd.semd
semf | application/vnd.semf
mrc | application/marc
mp2a | audio/mpeg
kne | application/vnd.kinar
vcs | text/x-vcalendar
n-gage | application/vnd.nokia.n-gage.symbian.install
vcx | application/vnd.vcx
knp | application/vnd.kinar
mpv2 | video/mpeg2
m21 | application/mp21
sitx | application/x-stuffitx
opml | text/x-opml
msf | application/vnd.epson.msf
msi | application/x-msdownload
ggb | application/vnd.geogebra.file
msh | model/mesh
xht | application/xhtml+xml
msl | application/vnd.mobius.msl
